instance ; degree ; euclidian distance
g15_33_30-1.txt ; 7 6 6 6 5 5 5 5 4 4 4 3 2 2 2; 0.00
g15_26_30-3.txt; 5 5 5 4 4 4 4 4 3 3 3 2 2 2 2; 4.2426407
g15_33_30-10.txt; 8 6 5 5 5 5 5 5 4 4 3 3 3 3 2; 2.4494897
g15_25_30-2.txt; 6 6 5 4 4 3 3 3 3 3 2 2 2 2 2; 5.0990195
g15_27_30-4.txt; 6 5 5 5 4 4 4 4 3 3 3 2 2 2 2; 3.4641016
g15_33_30-13.txt; 8 7 6 5 5 4 4 4 4 4 4 4 3 2 2; 2.8284271
g15_28_30-2.txt; 7 6 6 5 4 3 3 3 3 3 3 3 3 2 2; 4.2426407
g15_19_15-2.txt; 4 4 3 3 3 3 2 2 2 2 2 2 2 2 2; 8.3666003
g15_33_30-7.txt; 7 7 6 5 5 5 4 4 4 4 4 4 3 2 2; 2.4494897
g15_29_30-5.txt; 6 6 6 5 5 5 4 3 3 3 3 3 2 2 2; 3.1622777
g15_25_30-5.txt; 6 5 4 4 3 3 3 3 3 3 3 3 3 2 2; 5.4772256
g15_33_30-9.txt; 6 6 5 5 5 5 5 4 4 4 4 4 3 3 3; 2.8284271
g15_27_30-1.txt; 7 5 4 4 4 4 3 3 3 3 3 3 3 3 2; 4.8989795
g15_33_30-11.txt; 7 7 5 5 5 5 5 4 4 4 3 3 3 3 3; 2.8284271
g15_33_30-8.txt; 8 7 6 6 5 4 4 4 4 4 3 3 3 3 2; 2.8284271
g15_30_30-3.txt; 7 6 6 5 4 4 4 4 4 3 3 3 3 2 2; 2.8284271
g15_33_30-15.txt; 8 7 6 5 4 4 4 4 4 4 4 3 3 3 3; 3.1622777
g15_30_30-4.txt; 7 7 7 5 4 4 4 3 3 3 3 3 3 2 2; 3.7416574
g15_33_30-12.txt; 7 6 5 5 5 5 4 4 4 4 4 4 4 3 2; 3.1622777
g15_23_30-2.txt; 6 5 5 4 3 3 3 3 2 2 2 2 2 2 2; 6.0000000
g15_18_13-1.txt; 5 3 3 3 2 2 2 2 2 2 2 2 2 2 2; 8.9442719
g15_33_30-3.txt; 7 7 6 6 6 4 4 4 4 4 3 3 3 3 2; 2.8284271
g15_33_30-4.txt; 7 6 6 5 5 5 4 4 4 4 4 3 3 3 3; 2.4494897
g15_34_30-2.txt; 8 6 6 6 6 6 5 5 4 4 3 3 2 2 2; 2.0000000
g15_33_30-6.txt; 7 6 6 5 5 4 4 4 4 4 4 4 3 3 3; 2.8284271
g15_25_30-3.txt; 6 4 4 4 4 4 3 3 3 3 3 3 2 2 2; 5.0990195
g15_23_30-4.txt; 4 4 4 3 3 3 3 3 3 3 3 3 3 2 2; 6.7823300
g15_33_30-5.txt; 7 6 5 5 5 5 5 4 4 4 4 3 3 3 3; 2.4494897
g15_29_30-4.txt; 8 7 4 4 4 4 4 4 3 3 3 3 3 2 2; 4.2426407
g15_34_30-5.txt; 9 8 6 5 5 4 4 4 4 4 3 3 3 3 3; 4.0000000
g15_26_30-5.txt; 6 6 5 4 4 4 3 3 3 3 3 2 2 2 2; 4.4721360
g15_26_30-1.txt; 5 5 5 4 4 4 3 3 3 3 3 3 3 2 2; 4.8989795
g15_33_30-1.txt; 7 6 6 6 5 5 5 5 4 4 4 3 2 2 2; 0.0000000
g15_33_30-14.txt; 8 7 6 6 5 5 5 4 4 4 3 3 2 2 2; 2.0000000
g15_33_30-2.txt; 7 6 6 5 5 5 5 4 4 4 4 3 3 3 2; 2.0000000
g15_29_30-1.txt; 7 6 6 5 5 5 4 4 3 3 2 2 2 2 2; 3.1622777
g15_30_30-1.txt; 6 6 6 6 5 4 4 4 3 3 3 3 3 2 2; 2.8284271
